"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\package-lock.json", "JSON", 3356, 0, 0, 0, 0, 1, 3357
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\package.json", "JSON", 40, 0, 0, 0, 0, 1, 41
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\Revoke\IRevoke.ts", "TypeScript", 0, 0, 0, 6, 0, 1, 7
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\Revoke\revokeTokens.ts", "TypeScript", 0, 0, 0, 12, 0, 3, 15
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\User\IUser.ts", "TypeScript", 0, 0, 0, 19, 0, 1, 20
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\User\user.model.ts", "TypeScript", 0, 0, 0, 22, 8, 5, 35
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\connectionDB.ts", "TypeScript", 0, 0, 0, 12, 0, 3, 15
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\DbUserRepository.ts", "TypeScript", 0, 0, 0, 19, 4, 2, 25
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\IFindByEmail.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\IFindById.ts", "TypeScript", 0, 0, 0, 8, 0, 3, 11
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\IUpdateOne.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\Icreate.ts", "TypeScript", 0, 0, 0, 20, 0, 5, 25
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\index.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\DbRevokeTokens.ts", "TypeScript", 0, 0, 0, 13, 2, 4, 19
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\ICreateRevokeToken.ts", "TypeScript", 0, 0, 0, 13, 0, 4, 17
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\IFindRevokebyId.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\IEmailService.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\email.template.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 105
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\emailEvents.ts", "TypeScript", 0, 0, 0, 14, 0, 3, 17
